	Cell type	Assay	Treatment	Assay type	Source	
42	AG04450	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwAg04450UniPk.narrowPeak.gz
43	AG09309	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwAg09309UniPk.narrowPeak.gz
44	AG09319	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwAg09319UniPk.narrowPeak.gz
45	AG10803	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwAg10803UniPk.narrowPeak.gz
46	AoAF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwAoafUniPk.narrowPeak.gz
47	BE2_C	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwBe2cUniPk.narrowPeak.gz
48	BJ	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwBjUniPk.narrowPeak.gz
49	Caco-2	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwCaco2UniPk.narrowPeak.gz
50	CD20+	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwCd20UniPk.narrowPeak.gz
51	CD34+_Mobilized	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwCd34mobilizedUniPk.narrowPeak.gz
52	CMK	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwCmkUniPk.narrowPeak.gz
53	A549	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeA549UniPk.narrowPeak.gz
54	GM12878	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeGm12878UniPk.narrowPeak.gz
55	H1-hESC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeH1hescUniPk.narrowPeak.gz
56	HeLa-S3	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeHelas3UniPk.narrowPeak.gz
57	HepG2	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeHepg2UniPk.narrowPeak.gz
58	HMEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeHmecUniPk.narrowPeak.gz
59	HSMMtube	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeHsmmtubeUniPk.narrowPeak.gz
60	HSMM	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeHsmmUniPk.narrowPeak.gz
61	HUVEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeHuvecUniPk.narrowPeak.gz
62	K562	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeK562UniPk.narrowPeak.gz
63	LNCaP	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeLncapUniPk.narrowPeak.gz
64	MCF-7	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeMcf7UniPk.narrowPeak.gz
65	NHEK	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeNhekUniPk.narrowPeak.gz
66	Th1	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwdukeTh1UniPk.narrowPeak.gz
67	GM06990	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwGm06990UniPk.narrowPeak.gz
68	GM12864	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwGm12864UniPk.narrowPeak.gz
69	GM12865	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwGm12865UniPk.narrowPeak.gz
70	H7-hESC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwH7hescUniPk.narrowPeak.gz
71	HAc	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHacUniPk.narrowPeak.gz
72	HAEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHaepicUniPk.narrowPeak.gz
73	HA-h	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHahUniPk.narrowPeak.gz
74	HA-sp	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHaspUniPk.narrowPeak.gz
75	HBMEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHbmecUniPk.narrowPeak.gz
76	HCFaa	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHcfaaUniPk.narrowPeak.gz
77	HCF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHcfUniPk.narrowPeak.gz
