	Cell type	Assay	Treatment	Assay type	Source	
453	GM12892	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk.narrowPeak.gz
454	GM12892	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm12892Pol2IggmusUniPk.narrowPeak.gz
455	GM15510	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm15510NfkbTnfaIggrabUniPk.narrowPeak.gz
456	GM15510	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm15510Pol2IggmusUniPk.narrowPeak.gz
457	GM18505	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm18505NfkbTnfaIggrabUniPk.narrowPeak.gz
458	GM18505	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm18505Pol2IggmusUniPk.narrowPeak.gz
459	GM18526	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk.narrowPeak.gz
460	GM18526	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk.narrowPeak.gz
461	GM18951	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm18951NfkbTnfaIggrabUniPk.narrowPeak.gz
462	GM18951	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm18951Pol2IggmusUniPk.narrowPeak.gz
463	GM19099	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk.narrowPeak.gz
464	GM19099	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk.narrowPeak.gz
465	GM19193	NFKB	TNFa	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm19193NfkbTnfaIggrabUniPk.narrowPeak.gz
466	GM19193	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhGm19193Pol2IggmusUniPk.narrowPeak.gz
467	H1-hESC	Bach1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk.narrowPeak.gz
468	H1-hESC	BRCA1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescBrca1IggrabUniPk.narrowPeak.gz
469	H1-hESC	CEBPB		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk.narrowPeak.gz
470	H1-hESC	CHD1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk.narrowPeak.gz
471	H1-hESC	CHD2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk.narrowPeak.gz
472	H1-hESC	c-Jun		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk.narrowPeak.gz
473	H1-hESC	c-Myc		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk.narrowPeak.gz
474	H1-hESC	CtBP2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk.narrowPeak.gz
475	H1-hESC	GTF2F1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk.narrowPeak.gz
476	H1-hESC	JunD		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk.narrowPeak.gz
477	H1-hESC	MafK		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk.narrowPeak.gz
478	H1-hESC	Max		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk.narrowPeak.gz
479	H1-hESC	Mxi1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk.narrowPeak.gz
480	H1-hESC	Nrf1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk.narrowPeak.gz
481	H1-hESC	Rad21		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescRad21IggrabUniPk.narrowPeak.gz
482	H1-hESC	RFX5		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescRfx5200401194IggrabUniPk.narrowPeak.gz
483	H1-hESC	SIN3A		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescSin3anb6001263IggrabUniPk.narrowPeak.gz
484	H1-hESC	SUZ12		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk.narrowPeak.gz
485	H1-hESC	TBP		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescTbpIggrabUniPk.narrowPeak.gz
486	H1-hESC	USF2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk.narrowPeak.gz
487	H1-hESC	Znf143		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescZnf143IggrabUniPk.narrowPeak.gz
488	HCT-116	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHct116Pol2UcdUniPk.narrowPeak.gz
489	HCT-116	TCF7L2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk.narrowPeak.gz
490	HEK293	ELK4		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHek293Elk4UcdUniPk.narrowPeak.gz
491	HEK293	KAP1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHek293Kap1UcdUniPk.narrowPeak.gz
492	HEK293	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHek293Pol2UniPk.narrowPeak.gz
493	HEK293	TCF7L2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk.narrowPeak.gz
494	HEK293-T-REx	ZNF263		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHek293tZnf263UcdUniPk.narrowPeak.gz
495	HeLa-S3	AP-2alpha		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk.narrowPeak.gz
496	HeLa-S3	AP-2gamma		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Ap2gammaUniPk.narrowPeak.gz
497	HeLa-S3	BAF155		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Baf155IggmusUniPk.narrowPeak.gz
498	HeLa-S3	BAF170		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Baf170IggmusUniPk.narrowPeak.gz
499	HeLa-S3	BDP1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Bdp1UniPk.narrowPeak.gz
500	HeLa-S3	BRCA1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk.narrowPeak.gz
501	HeLa-S3	BRF1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Brf1UniPk.narrowPeak.gz
502	HeLa-S3	BRF2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Brf2UniPk.narrowPeak.gz
503	HeLa-S3	Brg1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk.narrowPeak.gz
504	HeLa-S3	CEBPB		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk.narrowPeak.gz
505	HeLa-S3	c-Fos		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3CfosUniPk.narrowPeak.gz
506	HeLa-S3	CHD2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Chd2IggrabUniPk.narrowPeak.gz
507	HeLa-S3	c-Jun		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk.narrowPeak.gz
508	HeLa-S3	c-Myc		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3CmycUniPk.narrowPeak.gz
509	HeLa-S3	COREST		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Corestsc30189IggrabUniPk.narrowPeak.gz
510	HeLa-S3	E2F1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3E2f1UniPk.narrowPeak.gz
511	HeLa-S3	E2F4		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3E2f4UniPk.narrowPeak.gz
512	HeLa-S3	E2F6		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3E2f6UniPk.narrowPeak.gz
513	HeLa-S3	ELK1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk.narrowPeak.gz
514	HeLa-S3	ELK4		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk.narrowPeak.gz
515	HeLa-S3	GTF2F1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk.narrowPeak.gz
516	HeLa-S3	HA-E2F1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk.narrowPeak.gz
517	HeLa-S3	Ini1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Ini1IggmusUniPk.narrowPeak.gz
518	HeLa-S3	IRF3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk.narrowPeak.gz
519	HeLa-S3	JunD		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk.narrowPeak.gz
520	HeLa-S3	MafK		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk.narrowPeak.gz
521	HeLa-S3	Max		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk.narrowPeak.gz
522	HeLa-S3	MAZ		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Mazab85725IggrabUniPk.narrowPeak.gz
523	HeLa-S3	Mxi1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk.narrowPeak.gz
524	HeLa-S3	NF-YA		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3NfyaIggrabUniPk.narrowPeak.gz
525	HeLa-S3	NF-YB		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3NfybIggrabUniPk.narrowPeak.gz
526	HeLa-S3	Nrf1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk.narrowPeak.gz
527	HeLa-S3	p300		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk.narrowPeak.gz
528	HeLa-S3	Pol2(phosphoS2)		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Pol2s2IggrabUniPk.narrowPeak.gz
529	HeLa-S3	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Pol2UniPk.narrowPeak.gz
530	HeLa-S3	PRDM1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Prdm19115IggrabUniPk.narrowPeak.gz
531	HeLa-S3	Rad21		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Rad21IggrabUniPk.narrowPeak.gz
532	HeLa-S3	RFX5		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Rfx5200401194IggrabUniPk.narrowPeak.gz
533	HeLa-S3	RPC155		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Rpc155UniPk.narrowPeak.gz
534	HeLa-S3	SMC3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Smc3ab9263IggrabUniPk.narrowPeak.gz
535	HeLa-S3	SPT20		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Spt20UniPk.narrowPeak.gz
536	HeLa-S3	STAT1	IFNg30	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk.narrowPeak.gz
537	HeLa-S3	STAT3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk.narrowPeak.gz
538	HeLa-S3	TBP		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3TbpIggrabUniPk.narrowPeak.gz
539	HeLa-S3	TCF7L2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Tcf7l2c9b92565UcdUniPk.narrowPeak.gz
540	HeLa-S3	TCF7L2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk.narrowPeak.gz
541	HeLa-S3	TFIIIC-110		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Tf3c110UniPk.narrowPeak.gz
542	HeLa-S3	TR4		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Tr4UniPk.narrowPeak.gz
543	HeLa-S3	USF2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk.narrowPeak.gz
544	HeLa-S3	ZKSCAN1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk.narrowPeak.gz
545	HeLa-S3	Znf143		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Znf143IggrabUniPk.narrowPeak.gz
546	HeLa-S3	ZNF274		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Znf274UcdUniPk.narrowPeak.gz
547	HeLa-S3	ZZZ3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3Zzz3UniPk.narrowPeak.gz
548	HepG2	ARID3A		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk.narrowPeak.gz
549	HepG2	BHLHE40		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk.narrowPeak.gz
550	HepG2	BRCA1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Brca1a300IggrabUniPk.narrowPeak.gz
551	HepG2	CEBPB	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk.narrowPeak.gz
552	HepG2	CEBPB		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2CebpbIggrabUniPk.narrowPeak.gz
553	HepG2	CHD2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Chd2ab68301IggrabUniPk.narrowPeak.gz
554	HepG2	c-Jun		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk.narrowPeak.gz
555	HepG2	COREST		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Corestsc30189IggrabUniPk.narrowPeak.gz
556	HepG2	ERRA	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2ErraForsklnUniPk.narrowPeak.gz
557	HepG2	GRp20	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk.narrowPeak.gz
558	HepG2	HNF4A	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Hnf4aForsklnUniPk.narrowPeak.gz
559	HepG2	HSF1	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Hsf1ForsklnUniPk.narrowPeak.gz
560	HepG2	IRF3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Irf3IggrabUniPk.narrowPeak.gz
561	HepG2	JunD		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2JundIggrabUniPk.narrowPeak.gz
562	HepG2	MafF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Maffm8194IggrabUniPk.narrowPeak.gz
563	HepG2	MafK		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk.narrowPeak.gz
564	HepG2	MafK		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk.narrowPeak.gz
565	HepG2	Max		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk.narrowPeak.gz
566	HepG2	MAZ		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk.narrowPeak.gz
567	HepG2	Mxi1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Mxi1UniPk.narrowPeak.gz
568	HepG2	Nrf1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Nrf1IggrabUniPk.narrowPeak.gz
569	HepG2	p300		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2P300sc582IggrabUniPk.narrowPeak.gz
570	HepG2	PGC1A	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk.narrowPeak.gz
571	HepG2	Pol2	forskolin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Pol2ForsklnUniPk.narrowPeak.gz
572	HepG2	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Pol2IggrabUniPk.narrowPeak.gz
573	HepG2	Pol2(phosphoS2)		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Pol2s2IggrabUniPk.narrowPeak.gz
574	HepG2	Rad21		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Rad21IggrabUniPk.narrowPeak.gz
575	HepG2	RFX5		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Rfx5200401194IggrabUniPk.narrowPeak.gz
576	HepG2	SMC3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk.narrowPeak.gz
577	HepG2	SREBP1	insulin	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk.narrowPeak.gz
578	HepG2	TBP		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2TbpIggrabUniPk.narrowPeak.gz
579	HepG2	TCF7L2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Tcf7l2UcdUniPk.narrowPeak.gz
580	HepG2	TR4		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk.narrowPeak.gz
581	HepG2	USF2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Usf2IggrabUniPk.narrowPeak.gz
582	HepG2	ZNF274		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2Znf274UcdUniPk.narrowPeak.gz
583	HUVEC	c-Fos		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk.narrowPeak.gz
584	HUVEC	c-Jun		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHuvecCjunUniPk.narrowPeak.gz
585	HUVEC	GATA-2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk.narrowPeak.gz
586	HUVEC	Max		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHuvecMaxUniPk.narrowPeak.gz
587	HUVEC	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHuvecPol2UniPk.narrowPeak.gz
588	IMR90	CEBPB		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk.narrowPeak.gz
589	IMR90	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk.narrowPeak.gz
590	IMR90	MafK		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk.narrowPeak.gz
591	IMR90	Pol2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhImr90Pol2IggrabUniPk.narrowPeak.gz
592	IMR90	Rad21		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk.narrowPeak.gz
593	K562	ARID3A		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk.narrowPeak.gz
594	K562	ATF1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Atf106325UniPk.narrowPeak.gz
595	K562	ATF3		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Atf3UniPk.narrowPeak.gz
596	K562	Bach1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk.narrowPeak.gz
597	K562	BDP1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Bdp1UniPk.narrowPeak.gz
598	K562	BHLHE40		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk.narrowPeak.gz
599	K562	BRF1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Brf1UniPk.narrowPeak.gz
600	K562	BRF2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Brf2UniPk.narrowPeak.gz
601	K562	Brg1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Brg1IggmusUniPk.narrowPeak.gz
602	K562	CCNT2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Ccnt2UniPk.narrowPeak.gz
603	K562	CEBPB		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk.narrowPeak.gz
604	K562	c-Fos		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CfosUniPk.narrowPeak.gz
605	K562	CHD2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk.narrowPeak.gz
606	K562	c-Jun	IFNa30	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfna30UniPk.narrowPeak.gz
607	K562	c-Jun	IFNa6h	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk.narrowPeak.gz
608	K562	c-Jun	IFNg30	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfng30UniPk.narrowPeak.gz
609	K562	c-Jun	IFNg6h	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk.narrowPeak.gz
610	K562	c-Jun		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunUniPk.narrowPeak.gz
611	K562	c-Myc	IFNa30	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfna30UniPk.narrowPeak.gz
612	K562	c-Myc	IFNa6h	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfna6hUniPk.narrowPeak.gz
613	K562	c-Myc	IFNg30	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfng30UniPk.narrowPeak.gz
614	K562	c-Myc	IFNg6h	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfng6hUniPk.narrowPeak.gz
615	K562	c-Myc		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIggrabUniPk.narrowPeak.gz
616	K562	c-Myc		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycUniPk.narrowPeak.gz
617	K562	COREST		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk.narrowPeak.gz
618	K562	COREST		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk.narrowPeak.gz
